"Timestamp","Gender","Age Range","What types of jewelry do you wear regularly?","What do you look for in your jewelry? Pick up to TWO options.","Which style below best describes your earring design preference? ","What types of jewelry do you mainly purchase?","How much are you comfortable spending on fashion earrings?","How much are you comfortable spending on fine / semi-fine / demi-fine earrings?","How much are you comfortable spending on domestic shipping?","Most of my jewelry pieces are bought","I often shop for jewelry online","I prefer purchasing jewelry from a website instead of an Instagram store ","I take good care of my fashion jewelry and pieces that tarnish easily ","Thank you for completing this survey! Please enter your Instagram username below:",""
"2020/11/23 9:28:33 AM GMT+8","Female","24 - 29","Earrings;Necklaces;Rings (not including wedding ring);Watches","Style / Design;Price","Minimal, Simple","Fashion jewelry -- Inexpensive jewelry made out of non-precious stones, metals and immitation gems","Below RM 10","RM 20 - 40","Below RM5","Implusively / Unplanned","5","5","5","l.peileng",""
"2020/11/23 10:03:27 AM GMT+8","Female","30+","Earrings;Necklaces","Style / Design;Price","Silver Huggies","Fine / Semi-fine / Demi-fine jewelry -- Costlier and higher quality jewelry that can be worn day in and day out","RM 10 - 20","RM 60 - 80","RM 5 - 7","Implusively / Unplanned","2","3","2","Melng86 ",""
"2020/11/23 1:18:28 PM GMT+8","Female","30+","Earrings;Necklaces;Bracelets / Cuffs","Quality;Craftmanship","Elegant","Fine / Semi-fine / Demi-fine jewelry -- Costlier and higher quality jewelry that can be worn day in and day out","Below RM 10","RM 20 - 40","Below RM5","Planned","3","3","4","@bibiscorner",""
"2020/11/23 1:23:58 PM GMT+8","Female","18 - 23","Earrings;Necklaces;Rings (not including wedding ring);Bracelets / Cuffs;Watches","Style / Design;Quality;Comfort","Mismatch","Fashion jewelry -- Inexpensive jewelry made out of non-precious stones, metals and immitation gems","RM 10 - 20","Below RM 20","Below RM5","Implusively / Unplanned","4","4","3","Jiamun_",""
"2020/11/23 1:30:04 PM GMT+8","Female","Under 18","Earrings;Necklaces","Style / Design;Quality;Comfort","Elegant","Fine / Semi-fine / Demi-fine jewelry -- Costlier and higher quality jewelry that can be worn day in and day out","RM 20 - 30","RM 20 - 40","RM 5 - 7","Planned","4","3","5","Wendywei_",""
"2020/11/23 3:23:12 PM GMT+8","Female","30+","Earrings;Necklaces;Bracelets / Cuffs","Style / Design;Trend;Quality;Comfort;Price","Minimal, Simple","Fashion jewelry -- Inexpensive jewelry made out of non-precious stones, metals and immitation gems","Below RM 10","RM 20 - 40","Below RM5","Implusively / Unplanned","5","4","5","mushroom.co",""
"2020/11/23 5:31:09 PM GMT+8","Female","30+","Earrings;Necklaces;Bracelets / Cuffs;Watches;Anklets","Style / Design;Quality","Minimal, Simple","Fashion jewelry -- Inexpensive jewelry made out of non-precious stones, metals and immitation gems","RM 10 - 20","Above RM 80","Below RM5","Implusively / Unplanned","5","3","5","yf_yunfei",""
"2020/11/23 8:59:38 PM GMT+8","Female","18 - 23","Earrings;Necklaces","Style / Design","Silver Huggies","Fine / Semi-fine / Demi-fine jewelry -- Costlier and higher quality jewelry that can be worn day in and day out","RM 10 - 20","Below RM 20","Below RM5","Planned","3","3","4","00nuj17",""
"2020/11/23 9:29:27 PM GMT+8","Female","18 - 23","Earrings;Necklaces;Rings (not including wedding ring)","Style / Design;Quality;Comfort;Price;Craftmanship","Mismatch","Fine / Semi-fine / Demi-fine jewelry -- Costlier and higher quality jewelry that can be worn day in and day out","RM 10 - 20","RM 20 - 40","Below RM5","Implusively / Unplanned","3","1","5","entong99",""
"2020/11/23 10:54:49 PM GMT+8","Female","30+","Earrings;Necklaces;Bracelets / Cuffs;Watches","Style / Design;Craftmanship","Silver Huggies","Fine / Semi-fine / Demi-fine jewelry -- Costlier and higher quality jewelry that can be worn day in and day out","RM 20 - 30","RM 40 - 60","Below RM5","Implusively / Unplanned","4","4","5","mag.love.9862 ",""
"2020/11/23 11:53:12 PM GMT+8","Female","Under 18","Earrings;Necklaces;Bracelets / Cuffs","Style / Design;Quality","Mismatch","Fashion jewelry -- Inexpensive jewelry made out of non-precious stones, metals and immitation gems","Below RM 10","Below RM 20","Below RM5","Implusively / Unplanned","4","4","4","Nsnsdhx325",""
